language,kernel,nitems,time
Julia,DotProduct,1000,0.028618017832438152
Julia,DotProduct,5000,0.335107962290446
Julia,DotProduct,10000,2.273205359776815
Julia,DotProduct,20000,12.081494728724161
Julia,DotProduct,30000,29.30661424001058
Julia,Gaussian,1000,0.02318231264750163
Julia,Gaussian,5000,0.36138232549031574
Julia,Gaussian,10000,2.553627332051595
Julia,Gaussian,20000,13.242238680521647
Julia,Gaussian,30000,32.783209005991615
Julia,Polynomial,1000,0.022588332494099934
Julia,Polynomial,5000,0.37053394317626953
Julia,Polynomial,10000,2.513085683186849
Julia,Polynomial,20000,13.059705018997192
Julia,Polynomial,30000,31.536365350087483
Julia,Exponential,1000,0.02099498112996419
Julia,Exponential,5000,0.3473227024078369
Julia,Exponential,10000,2.622964064280192
Julia,Exponential,20000,13.915411392847696
Julia,Exponential,30000,32.7377610206604
Julia,Log,1000,0.6652313073476156
Julia,Log,5000,17.037853320439655
Julia,Log,10000,67.28145058949788
Julia,Log,20000,284.03041768074036
Julia,Log,30000,640.7916380564371
Julia,Cauchy,1000,0.020720958709716797
Julia,Cauchy,5000,0.3785683314005534
Julia,Cauchy,10000,2.387653350830078
Julia,Cauchy,20000,12.377931674321493
Julia,Cauchy,30000,31.607904354731243
Julia,Power,1000,0.6242409547170004
Julia,Power,5000,17.334346691767376
Julia,Power,10000,69.57900404930115
Julia,Power,20000,265.5375280380249
Julia,Power,30000,588.9969596862793
Julia,Wave,1000,0.0548706849416097
Julia,Wave,5000,0.4465626080830892
Julia,Wave,10000,2.4781373341878257
Julia,Wave,20000,13.298714955647787
Julia,Wave,30000,33.43664868672689
Julia,Sigmoid,1000,0.023600339889526367
Julia,Sigmoid,5000,0.35213859875996906
Julia,Sigmoid,10000,2.459144671758016
Julia,Sigmoid,20000,12.380852301915487
Julia,Sigmoid,30000,30.208860715230305
