language,kernel,nitems,time
Julia,DotProduct,1000,0.028934717178344727
Julia,DotProduct,5000,0.3384213447570801
Julia,DotProduct,10000,2.285879373550415
Julia,DotProduct,20000,12.012665033340454
Julia,DotProduct,30000,29.216094970703125
Julia,Gaussian,1000,0.022055943806966145
Julia,Gaussian,5000,0.3577253818511963
Julia,Gaussian,10000,2.520039637883504
Julia,Gaussian,20000,13.040017366409302
Julia,Gaussian,30000,32.2067592938741
Julia,Polynomial,1000,0.02389367421468099
Julia,Polynomial,5000,0.3974326451619466
Julia,Polynomial,10000,2.538082679112752
Julia,Polynomial,20000,13.033354997634888
Julia,Polynomial,30000,31.670559326807656
Julia,Exponential,1000,0.02152903874715169
Julia,Exponential,5000,0.36496035257975257
Julia,Exponential,10000,2.6344366868336992
Julia,Exponential,20000,13.753678719202677
Julia,Exponential,30000,33.27915596961975
Julia,Log,1000,0.6249533494313557
Julia,Log,5000,15.74955932299296
Julia,Log,10000,61.271198670069374
Julia,Log,20000,247.89898459116617
Julia,Log,30000,565.0516930421193
Julia,Cauchy,1000,0.020629008611043293
Julia,Cauchy,5000,0.3662620385487874
Julia,Cauchy,10000,2.3178850015004473
Julia,Cauchy,20000,12.884659051895142
Julia,Cauchy,30000,31.82168634732564
Julia,Power,1000,0.6112387180328369
Julia,Power,5000,16.487519025802612
Julia,Power,10000,61.17924292882283
Julia,Power,20000,247.75332935651141
Julia,Power,30000,559.8640073140461
Julia,Wave,1000,0.05431739489237467
Julia,Wave,5000,0.4737757047017415
Julia,Wave,10000,2.6081150372823076
Julia,Wave,20000,13.91323169072469
Julia,Wave,30000,33.91305796305338
Julia,Sigmoid,1000,0.021110375722249348
Julia,Sigmoid,5000,0.32453298568725586
Julia,Sigmoid,10000,2.39143697420756
Julia,Sigmoid,20000,12.46296731630961
Julia,Sigmoid,30000,30.015175342559814
